spot_id,stake_label,pot_type,spot_name,opportunities,bet_pct,check_pct,fold_pct,call_pct,raise_pct,no_response_pct,avg_size_pct,avg_facing_size_pct,raw_action_counts,benchmark_flag,leak_note,benchmark_metric,benchmark_low,benchmark_high,deviation_pp,confidence,exploit_score
BET_IP_VS_MISSED_FLOP_CB,PL100,3bet,Bet IP vs missed flop c-bet,63,30.2,69.8,0.0,0.0,0.0,0.0,55.1,,"{""check"": 44, ""bet"": 19}",LOW,pool under-stabs vs missed flop c-bet; check response stats before pure-bluffing more,bet_pct,45.0,70.0,-14.8,LOW,5.92
BET_IP_VS_MISSED_FLOP_CB,PL100,4bet+,Bet IP vs missed flop c-bet,1,0.0,100.0,0.0,0.0,0.0,0.0,,,"{""check"": 1}",low_sample,sample below min-sample,bet_pct,45.0,70.0,-45.0,IGNORE,4.5
BET_IP_VS_MISSED_FLOP_CB,PL100,srp,Bet IP vs missed flop c-bet,184,37.5,62.5,0.0,0.0,0.0,0.0,58.7,,"{""check"": 115, ""bet"": 69}",LOW,pool under-stabs vs missed flop c-bet; check response stats before pure-bluffing more,bet_pct,45.0,70.0,-7.5,MEDIUM,5.25
BET_IP_VS_MISSED_FLOP_CB,PL25,3bet,Bet IP vs missed flop c-bet,146,31.5,68.5,0.0,0.0,0.0,0.0,68.7,,"{""check"": 100, ""bet"": 46}",LOW,pool under-stabs vs missed flop c-bet; check response stats before pure-bluffing more,bet_pct,45.0,70.0,-13.5,MEDIUM,9.45
BET_IP_VS_MISSED_FLOP_CB,PL25,4bet+,Bet IP vs missed flop c-bet,10,60.0,40.0,0.0,0.0,0.0,0.0,62.6,,"{""check"": 4, ""bet"": 6}",low_sample,sample below min-sample,bet_pct,45.0,70.0,0.0,IGNORE,0.0
BET_IP_VS_MISSED_FLOP_CB,PL25,srp,Bet IP vs missed flop c-bet,447,37.1,62.9,0.0,0.0,0.0,0.0,63.5,,"{""check"": 281, ""bet"": 166}",LOW,pool under-stabs vs missed flop c-bet; check response stats before pure-bluffing more,bet_pct,45.0,70.0,-7.9,HIGH,7.9
BET_IP_VS_MISSED_FLOP_CB,PL50,3bet,Bet IP vs missed flop c-bet,354,39.0,61.0,0.0,0.0,0.0,0.0,57.8,,"{""bet"": 138, ""check"": 216}",LOW,pool under-stabs vs missed flop c-bet; check response stats before pure-bluffing more,bet_pct,45.0,70.0,-6.0,HIGH,6.0
BET_IP_VS_MISSED_FLOP_CB,PL50,4bet+,Bet IP vs missed flop c-bet,22,45.5,54.5,0.0,0.0,0.0,0.0,72.9,,"{""check"": 12, ""bet"": 10}",low_sample,sample below min-sample,bet_pct,45.0,70.0,0.0,IGNORE,0.0
BET_IP_VS_MISSED_FLOP_CB,PL50,srp,Bet IP vs missed flop c-bet,847,40.7,59.3,0.0,0.0,0.0,0.0,62.5,,"{""bet"": 345, ""check"": 502}",LOW,pool under-stabs vs missed flop c-bet; check response stats before pure-bluffing more,bet_pct,45.0,70.0,-4.3,HIGH,4.3
BET_IP_VS_MISSED_TURN_CB,PL100,3bet,Bet IP vs missed turn c-bet after flop c-bet/call,12,33.3,66.7,0.0,0.0,0.0,0.0,44.8,,"{""check"": 8, ""bet"": 4}",low_sample,sample below min-sample,bet_pct,45.0,70.0,-11.7,IGNORE,1.17
